ADM2_EN;PPM;IPM;UHH;HLS;RLS;DTKS
Bantaeng;9.07;69.69;70.88;12.3;6.81;117414
Barru;8.4;71.53;69.35;13.61;8.25;89034
Bone;10.58;67.01;67.57;12.99;7.36;597850
Bulukumba;7.39;70.34;68.51;13.42;8.01;181002
Enrekang;12.39;73.39;71.17;13.86;8.93;162947
Gowa;7.36;70.99;70.7;13.66;8.4;404024
Jeneponto;13.73;65.13;66.81;12.11;6.75;285279
Kepulauan Selayar;12.24;68.35;68.81;12.67;8.09;75526
Kota Makassar;4.58;83.12;72.4;15.59;11.55;436869
Kota Palopo;7.78;78.91;71.18;15.1;11.09;105371
Kota Parepare;5.41;78.54;71.57;14.52;10.66;64437
Luwu;12.49;71.36;70.75;13.4;8.48;275207
Luwu Timur;6.81;73.92;70.94;13;8.92;167948
Luwu Utara;13.22;70.51;69.03;12.58;7.87;220646
Maros;9.43;71;69.28;13.3;8.02;192346
Pangkajene Dan Kepulauan;13.92;69.79;67.12;12.78;8.05;227244
Pinrang;8.79;71.97;70.15;13.25;8.04;183316
Sidenreng Rappang;5.11;72.06;70.41;13.01;8.04;144495
Sinjai;8.8;68.33;67.68;13.25;7.79;138295
Soppeng;7.49;69.7;70.2;13.2;7.96;133063
Takalar;8.25;68.31;67.64;12.48;7.64;207893
Tana Toraja;12.18;69.88;73.72;13.87;8.52;162363
Toraja Utara;11.65;70.36;73.65;13.41;8.26;158125
Wajo;6.57;70.26;67.82;13.3;7.16;208114
